14,4,1823.74,638.84,64.27,160.10,0.8205,-1,-1,-1
14,5,61.61,595.35,52.31,193.97,0.7820,-1,-1,-1
14,6,248.11,646.08,42.46,91.00,0.7440,-1,-1,-1
14,7,922.04,631.02,55.92,141.99,0.7339,-1,-1,-1
15,0,759.10,601.15,76.30,227.70,0.9257,-1,-1,-1
15,1,1388.05,469.13,43.76,178.52,0.9166,-1,-1,-1
15,2,1176.77,638.98,40.69,122.55,0.8790,-1,-1,-1
15,3,660.86,638.00,50.05,137.71,0.8623,-1,-1,-1
15,4,1823.77,638.83,64.23,160.10,0.8184,-1,-1,-1
15,5,61.60,595.35,52.35,193.97,0.7816,-1,-1,-1
15,6,248.11,646.07,42.48,91.01,0.7443,-1,-1,-1
15,7,922.05,630.96,55.94,142.04,0.7352,-1,-1,-1
16,0,757.79,602.26,75.58,227.05,0.9244,-1,-1,-1
16,1,1388.22,469.18,43.48,178.46,0.9163,-1,-1,-1
16,2,1176.55,639.02,40.76,122.43,0.8823,-1,-1,-1
16,3,660.82,638.51,49.37,137.03,0.8542,-1,-1,-1
16,4,1823.86,639.04,64.12,159.91,0.8460,-1,-1,-1
16,5,61.05,595.37,53.71,193.89,0.7738,-1,-1,-1
16,6,922.42,629.50,55.42,143.50,0.7649,-1,-1,-1
16,7,247.63,646.07,43.17,91.05,0.7429,-1,-1,-1
17,0,756.41,603.49,73.75,225.77,0.9319,-1,-1,-1
17,1,1388.17,469.20,43.74,178.37,0.9207,-1,-1,-1
17,2,1176.45,639.02,40.81,122.48,0.8860,-1,-1,-1
17,3,661.05,639.61,47.63,135.52,0.8681,-1,-1,-1
17,4,1823.51,639.00,64.54,159.70,0.8289,-1,-1,-1
17,5,918.77,629.51,59.84,143.74,0.7978,-1,-1,-1
17,6,61.27,595.29,53.50,193.96,0.7739,-1,-1,-1
17,7,247.87,646.08,43.40,90.99,0.7440,-1,-1,-1
18,0,1388.45,469.18,43.14,179.09,0.9296,-1,-1,-1
18,1,755.98,604.26,72.64,225.00,0.9210,-1,-1,-1
18,2,1176.53,639.19,40.57,122.28,0.8851,-1,-1,-1
18,3,662.15,642.01,45.83,133.09,0.8659,-1,-1,-1
18,4,1823.24,639.12,64.66,159.75,0.8404,-1,-1,-1
18,5,920.35,628.30,56.93,145.03,0.7851,-1,-1,-1
18,6,61.33,595.58,54.39,193.67,0.7632,-1,-1,-1
18,7,247.89,646.06,43.44,91.15,0.7493,-1,-1,-1
19,0,1388.04,469.01,43.31,179.59,0.9293,-1,-1,-1
19,1,753.27,605.51,74.24,223.21,0.9245,-1,-1,-1
19,2,662.98,640.61,44.68,134.53,0.8913,-1,-1,-1
19,3,1177.14,638.83,40.21,122.44,0.8820,-1,-1,-1
19,4,1823.08,638.97,64.89,160.15,0.8785,-1,-1,-1
19,5,61.15,595.41,55.08,193.75,0.7806,-1,-1,-1
19,6,248.35,646.14,42.22,90.94,0.7700,-1,-1,-1
19,7,923.07,625.82,53.08,147.22,0.7587,-1,-1,-1
20,0,751.04,605.60,75.76,222.25,0.9312,-1,-1,-1
20,1,1388.01,469.06,43.47,179.89,0.9236,-1,-1,-1
20,2,663.67,640.70,43.89,134.41,0.8904,-1,-1,-1
